date,covidCases,BTCUSD
2019-09-28,,8245.9150391
2019-09-29,,8104.1855469
2019-09-30,,8293.8681641
2019-10-01,,8343.2763672
2019-10-02,,8393.0419922
2019-10-03,,8259.9921875
2019-10-04,,8205.9394531
2019-10-05,,8151.5004883
2019-10-06,,7988.1557617
2019-10-07,,8245.6230469
2019-10-08,,8228.7832031
2019-10-09,,8595.7402344
2019-10-10,,8586.4736328
2019-10-11,,8321.7568359
2019-10-12,,8336.5556641
2019-10-13,,8321.0058594
2019-10-14,,8374.6865234
2019-10-15,,8205.3691406
2019-10-16,,8047.5268555
2019-10-17,,8103.9111328
2019-10-18,,7973.2075195
2019-10-19,,7988.5605469
2019-10-20,,8222.078125
2019-10-21,,8243.7207031
2019-10-22,,8078.203125
2019-10-23,,7514.671875
2019-10-24,,7493.4887695
2019-10-25,,8660.7001953
2019-10-26,,9244.9726562
2019-10-27,,9551.7148438
2019-10-28,,9256.1484375
2019-10-29,,9427.6875
2019-10-30,,9205.7265625
2019-10-31,,9199.5849609
2019-11-01,,9261.1044922
2019-11-02,,9324.7177734
2019-11-03,,9235.3544922
2019-11-04,,9412.6123047
2019-11-05,,9342.5273438
2019-11-06,,9360.8798828
2019-11-07,,9267.5615234
2019-11-08,,8804.8808594
2019-11-09,,8813.5820312
2019-11-10,,9055.5263672
2019-11-11,,8757.7880859
2019-11-12,,8815.6621094
2019-11-13,,8808.2626953
2019-11-14,,8708.0947266
2019-11-15,,8491.9921875
2019-11-16,,8550.7607422
2019-11-17,,8577.9755859
2019-11-18,,8309.2861328
2019-11-19,,8206.1455078
2019-11-20,,8027.2680664
2019-11-21,,7642.75
2019-11-22,,7296.5776367
2019-11-23,,7397.796875
2019-11-24,,7047.9169922
2019-11-25,,7146.1337891
2019-11-26,,7218.3710938
2019-11-27,,7531.6635742
2019-11-28,,7463.105957
2019-11-29,,7761.2436523
2019-11-30,,7569.6298828
2019-12-01,,7424.2924805
2019-12-02,,7321.9882812
2019-12-03,,7320.1455078
2019-12-04,,7252.034668
